Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
abbey-road,539081,183352,51.5319519867171,0.00372337109717115,3,E15 3NB
abbey-wood,547297,179002,51.490784095703106,0.120271969782359,4,SE2 9RH
acton-central,520613,180299,51.5087577801896,-0.263430199363473,2,W3 6BH
acton-main-line,520296,181196,51.5168869310483,-0.267689952184077,3,W3 9EH
acton-town,519457,179639,51.503071442963495,-0.28030270140601,3,W3 8HN
addington-village,537082,163744,51.356238590430095,-0.032665100391443,"3,4,5,6",CR0 5AR
addiscombe,534190,166290,51.379808289594095,-0.0732132828267587,"3,4,5,6",CR0 7AA
albany-park,547903,172902,51.435815606227706,0.126444637772442,5,DA5 3HP
aldgate,533629,181246,51.5143423787415,-0.0756269126501567,1,EC3N 1AH
aldgate-east,533809,181333,51.5150816226404,-0.0730014627258136,1,E1 7PT
alexandra-palace,530300,190498,51.59826282264971,-0.12014897219453599,3,N22 7ST
all-saints,538012,180933,51.5104769244406,-0.0126248853684833,2,E14 0EH
alperton,518025,183849,51.5412092743614,-0.299515758699207,4,HA0 4LL
amersham,496454,198181,51.6741293179421,-0.6065137893557739,9,HP6 5AZ
ampere-way,530674,166476,51.382299420009005,-0.123636799345144,"3,4,5,6",CR0 3JX
anerley,534656,169942,51.412516717902406,-0.0651371001212532,4,SE20 8PY
angel,531497,183263,51.53296801568911,-0.10558144894639801,1,N1 8XB
angel-road,535204,192202,51.61242031959001,-0.0487329193735463,4,N18 3AY
archway,529356,186827,51.5654905340774,-0.135121576677549,"2,3",N19 5RQ
arena,535192,167620,51.391522751976794,-0.0583185500805117,"3,4,5,6",SE25 4RY
arnos-grove,529271,192471,51.616230141680205,-0.134270218764562,4,N11 1AN
arsenal,531429,186107,51.5585413757193,-0.105499933602789,2,N5 1LP
avenue-road,535764,169335,51.40679798274421,-0.0494469371121275,"3,4,5,6",BR3 4NJ
baker-street,527965,182078,51.5231296204391,-0.15690419441262,1,NW1 5LA
balham,528482,173195,51.443182562032604,-0.152685163343656,3,SW12 9SG
bank,532704,181111,51.513347062296,-0.0890001239496697,1,EC3V 3LA
banstead,524590,160426,51.3292931229522,-0.213132336180543,6,SM7 1RB
barbican,532079,181859,51.5202152835411,-0.0977215786403087,1,EC1A 4JA
barking,544405,184343,51.539521113341294,0.0808316100128655,4,IG11 8TU
barkingside,544788,189510,51.5858506139378,0.0884766396392107,4,IG6 1NB
